date,first_prize,three_digit_1,three_digit_2,three_digit_3,three_digit_4,two_digit
1995-01-16,922388,186,667,253,002,40
1995-02-01,198162,195,087,805,574,48
1995-02-16,869070,828,597,462,126,95
1995-03-01,411454,034,019,022,152,71
1995-03-16,646847,225,044,091,220,67
1995-04-01,427039,254,926,674,978,06
1995-04-16,053581,560,968,681,376,99
1995-05-02,504692,304,886,268,273,88
1995-05-17,220381,460,597,511,488,55
1995-06-01,105615,374,735,168,688,17
1995-06-16,046698,678,785,507,393,82
1995-07-01,939901,428,940,667,879,19
1995-07-16,248122,571,085,303,758,96
1995-08-01,464819,070,274,669,293,59
1995-08-16,265333,235,455,618,342,51
1995-09-01,620837,693,872,255,644,83
1995-09-16,876454,558,297,582,802,51
1995-10-01,317092,139,819,088,296,76
1995-10-16,322154,924,192,716,233,86
1995-11-01,282069,962,564,194,393,07
1995-11-16,239422,078,883,776,756,85
1995-12-01,714426,516,427,387,073,74
1995-12-16,952808,732,540,639,064,68
1995-12-30,327686,748,456,145,928,04
1996-01-16,318302,882,444,661,971,21
1996-02-01,256556,906,705,549,994,26
1996-02-16,681455,977,664,428,779,49
1996-03-01,304855,760,664,443,945,72
1996-03-16,019128,673,796,694,526,27
1996-04-01,660765,701,338,839,278,90
1996-04-16,049584,435,222,155,052,77
1996-05-02,247351,175,234,661,978,54
1996-05-17,978140,321,443,718,523,75
1996-06-01,869656,422,126,961,584,81
1996-06-16,318311,649,118,735,916,21
1996-07-01,625379,666,298,094,543,76
1996-07-16,332687,771,547,281,010,91
1996-08-01,151091,646,650,833,669,61
1996-08-16,352768,389,932,609,875,19
1996-09-01,470136,392,666,927,501,02
1996-09-16,814368,889,818,976,400,59
1996-10-01,947788,089,166,544,484,97
1996-10-16,198019,082,270,865,824,18
1996-11-01,512694,290,432,255,964,24
1996-11-16,951088,168,349,580,577,21
1996-12-01,179528,822,365,920,566,66
1996-12-16,593856,381,755,608,438,44
1996-12-30,879454,879,314,158,584,26
1997-01-16,151995,612,257,020,381,47
1997-02-01,750792,402,771,703,079,57
1997-02-16,499884,716,247,533,315,94
1997-03-01,976779,148,414,791,364,98
1997-03-16,100474,444,822,705,214,36
1997-04-01,617629,426,162,880,015,52
1997-04-16,551450,654,165,279,085,92
1997-05-02,388437,025,656,056,728,38
1997-05-16,088067,510,621,896,769,52
1997-06-01,643997,507,918,784,060,24
1997-06-16,537146,635,769,982,504,61
1997-07-01,676573,909,620,412,092,11
1997-07-16,509691,982,623,750,944,67
1997-08-01,054272,797,145,414,440,31
1997-08-16,156967,235,957,596,569,30
1997-09-01,083537,132,319,658,716,59
1997-09-16,527514,251,335,687,935,98
1997-10-01,444413,808,689,746,698,24
1997-10-16,405124,280,356,459,125,98
1997-11-01,974201,830,877,283,064,39
1997-11-16,875462,539,573,730,038,99
1997-12-01,241559,392,982,677,168,86
1997-12-16,294240,392,975,762,142,71
1997-12-30,675704,044,327,977,788,65
1998-01-16,947195,425,185,833,792,34
1998-02-01,665959,381,685,788,941,48
1998-02-16,612897,460,234,356,213,69
1998-03-01,236864,867,285,127,562,74
1998-03-16,572701,260,852,943,506,79
1998-04-01,496930,454,563,882,786,66
1998-04-16,146573,202,153,705,664,17
1998-05-02,663807,802,946,143,325,72
1998-05-16,840043,984,258,981,950,63
1998-06-01,820088,014,649,781,530,67
1998-06-16,858076,235,316,219,533,19
1998-07-01,595123,076,101,606,314,65
1998-07-16,599991,012,401,904,935,52
1998-08-01,748493,015,001,771,862,22
1998-08-16,081784,724,464,644,677,91
1998-09-01,872795,316,042,551,060,96
1998-09-16,065720,782,584,401,311,65
1998-10-01,987844,806,286,728,470,18
1998-10-16,261080,461,935,755,695,74
1998-11-01,920846,081,316,044,289,29
